song,artist,uri,genre
We Belong Together,Mariah Carey,spotify:track:3LmvfNUQtglbTrydsdIqFU,pop
Yeah!,Usher Featuring Lil Jon and Ludacris,spotify:track:3ZXb7BJtQpt5oHscNU2MG1,pop
I Gotta Feeling,Black Eyed Peas,spotify:track:2H1047e0oMSj10dgp7p2VG,pop
Gold Digger,Kanye West Featuring Jamie Foxx,spotify:track:3qadkg8UCqAzXQ7oI6Teai,pop
Family Affair,Mary J. Blige,spotify:track:3aw9iWUQ3VrPQltgwvN9Xu,pop
Bleeding Love,Leona Lewis,spotify:track:7wZUrN8oemZfsEd1CGkbXE,pop
Hey Ya!,OutKast,spotify:track:2PpruBYCo4H7WOBJ7Q2EwM,pop
What a Girl Wants,Christina Aguilera,spotify:track:5bGmuxShUba9maPswDnhCs,pop
Since U Been Gone,Kelly Clarkson,spotify:track:3xrn9i8zhNZsTtcoWgQEAd,pop
Single Ladies,Beyonce,spotify:track:2ZBNclC5wm4GtiWaeh0DMx,pop
Frontin,Pharrell Featuring Jay-Z,spotify:track:0iFOG4Ki9aDmJUYUFHQlPG,pop
South Side,Moby Featuring Gwen Stefani,spotify:track:0KwXjf8EUmRA8csssSi9Dt,pop
Fireflies,Owl City,spotify:track:3DamFFqW32WihKkTVlwTYQ,pop
Welcome to the Black Parade,My Chemical Romance,spotify:track:5wQnmLuC1W7ATsArWACrgW,pop
The Rising,Bruce Springsteen,spotify:track:2czBvzOv3TvnyoW7Ozo7fP,pop
All These Things That I've Done,The Killers,spotify:track:5vollujufHY0jMZxx77VWr,pop
Feedback,Janet Jackson,spotify:track:5eOzzCC8zE6EqMThdvhc1d,pop
Galang,M.I.A.,spotify:track:5oV3uciTzAtn3YyTK5YgmA,pop
Closer,Ne-Yo,spotify:track:2XbfY2O2v3xwedUJ0J2kkr,pop
Down,Jay Sean Featuring Lil Wayne,spotify:track:6Ph28ENj0Suh79QTKmTtyY,pop
I Hope You Dance,Lee Ann Womack With Sons of the Desert,spotify:track:65B1tEOv5W294uCKbmEcFV,pop
Take Me Out,Franz Ferdinand,spotify:track:20I8RduZC2PWMWTDCZuuAN,pop
Hanging by a Moment,Lifehouse,spotify:track:0wqOReZDnrefefEsrIGeR4,pop
Doesn't Really Matter,Janet Jackson,spotify:track:0ekdT3jOhn3LinWtqHhmsw,pop
Sweet Dreams,Beyonce,spotify:track:1FKxKGONukVFXWVJxAKmlz,pop
Stacy's Mom,Fountains of Wayne,spotify:track:27L8sESb3KR79asDUBu8nW,pop
When I'm Gone,Eminem,spotify:track:2lRI7n5b9jlPYsEpRuots6,pop
The Middle,Jimmy Eat World,spotify:track:6GG73Jik4jUlQCkKg9JuGO,pop
How to Save a Life,The Fray,spotify:track:5fVZC9GiM4e8vu99W0Xf6J,pop
Breathe,Faith Hill,spotify:track:3y4LxiYMgDl4RethdzpmNe,pop
"Whenever, Wherever",Shakira,spotify:track:2lnzGkdtDj5mtlcOW2yRtG,pop
Teenagers,My Chemical Romance,spotify:track:7j31rVgGX9Q2blT92VBEA0,pop
The Way You Move,Outkast Featuring Sleepy Brown,spotify:track:5z7mYFfhw6N6f23VwrokJD,pop
Piece of Me,Britney Spears,spotify:track:2EvwLVrnYbCZEG6Kx5DCRy,pop
Drop It Like It's Hot,Snoop Dogg Featuring Pharrell,spotify:track:45euROxELkNSxSsti0aja5,pop
Work It,Missy Elliott,spotify:track:3jagJCUbdqhDSPuxP8cAqF,pop
Be Without You,Mary J. Blige,spotify:track:6Y3WvyUG9iE5bQYg38SPtQ,pop
You Belong With Me,Taylor Swift,spotify:track:1qrpoAMXodY6895hGKoUpA,pop
Bye Bye Bye,*NSYNC,spotify:track:62bOmKYxYg7dhrC6gH9vFn,pop
Feel Good Inc.,Gorillaz,spotify:track:0d28khcov6AiegSCpG5TuT,pop
Chasing Pavements,Adele,spotify:track:56pHllZT7QOacB0bP56ofx,pop
Get Ur Freak On,Missy Elliott,spotify:track:6zsk6uF3MxfIeHPlubKBvR,pop
All Summer Long,Kid Rock,spotify:track:5rX6C5QVvvZB7XckETNych,pop
Milkshake,Kelis,spotify:track:2s0ouHqJebHfiQ6C1GUFJd,pop
Never Again,Kelly Clarkson,spotify:track:24y3tSyLdRbpVsKhQrR2oj,pop
Better Days,Goo Goo Dolls,spotify:track:2hiB8QxWic092OablwpoVC,pop
Empire State of Mind,Jay-Z and Alicia Keys,spotify:track:6sLeKXRd18llTYeqiCT0lK,pop
Beautiful,Christina Aguilera,spotify:track:3TCauNPqFiniaYHBvEVoHG,pop
Cry Me a River,Justin Timberlake,spotify:track:7Lf7oSEVdzZqTA0kEDSlS5,pop
Steady as She Goes,The Raconteurs,spotify:track:4xlEKYv7HmC8zXoJIbpZKM,pop
Drops of Jupiter,Train,spotify:track:2hKdd3qO7cWr2Jo0Bcs0MA,pop
Lean Back,Terror Squad,spotify:track:2Ozc0me9PV5vlt8cokwdvI,pop
Blue,Eiffel 65,spotify:track:2yAVzRiEQooPEJ9SYx11L3,pop
Lose Control,Missy Elliott Featuring Ciara and Fat Man Scoop,spotify:track:0UaMYEvWZi0ZqiDOoHU3YI,pop
Can't Get You Out of My Head,Kylie Minogue,spotify:track:3E7ZwUMJFqpsDOJzEkBrQ7,pop
"1, 2, 3, 4",Feist,spotify:track:3EjunV64KClOUVAY5bh1br,pop
American Boy,Estelle Featuring Kanye West,spotify:track:3XB7WVeKBh3nJJT45v29ng,pop
Paralyzer,Finger Eleven,spotify:track:28IEbk5a7twNTbUEvWslUb,pop
Party in the USA,Miley Cyrus,spotify:track:7t5YIq57DS5djsaZJm1iyM,pop
Say My Name,Destiny's Child,spotify:track:7H6ev70Weq6DdpZyyTmUXk,pop
I'm Like a Bird,Nelly Furtado,spotify:track:2aGw77pZqli064JiPuXYRi,pop
My Love,Justin Timberlake Featuring T.I.,spotify:track:4NeOWqHmlrGRuBvsLJC9rL,pop
Lose Yourself,Eminem,spotify:track:5Z01UMMf7V1o0MzF86s6WJ,pop
Jesus Walks,Kanye West,spotify:track:5g1vtHqi9uV7xtYeCcFOBx,pop
Hurt,Christina Aguilera,spotify:track:6gDXbcILAyBa2skSdbUYq7,pop
I Kissed a Girl,Katy Perry,spotify:track:005lwxGU1tms6HGELIcUv9,pop
Naughty Girl,Beyonce,spotify:track:0YGQ3hZcRLC5YX7o0hdmHg,pop
Whatcha Say,Jason DeRulo,spotify:track:67T6l4q3zVjC5nZZPXByU8,pop
Seven Nation Army,White Stripes,spotify:track:3dPQuX8Gs42Y7b454ybpMR,pop
Hella Good,No Doubt,spotify:track:6AfLmKXzhEZjwiVPs5jhdV,pop
Clocks,Coldplay,spotify:track:0BCPKOYdS2jbQ8iyB56Zns,pop
