danceability,energy,key,mode,instrumentalness,bpm,valence,title,artist,year,popularity,link,image,genre,uri,adj_key
0.706,0.751,9,1,0.0,91.031,0.195,Replay,Iyaz,2009,69,https://open.spotify.com/track/5vlEg2fT4cFWAqU5QptIpQ,https://i.scdn.co/image/ab67616d00001e02322b086aec3e63cc7caf30c6,pop,spotify:track:5vlEg2fT4cFWAqU5QptIpQ,9.0
0.675,0.394,8,1,0.0,104.987,0.405,Bartender (feat. Akon),"T-Pain, Akon",2007,0,https://open.spotify.com/track/5kxddRG1RZaZROadk7iC4D,https://i.scdn.co/image/ab67616d00001e02aad32187513cd6916ddd3c87,pop,spotify:track:5kxddRG1RZaZROadk7iC4D,8.0
0.451,0.55,1,1,0.0,80.001,0.594,Buy U a Drank (Shawty Snappin') (feat. Yung Joc),"T-Pain, Yung Joc",2007,1,https://open.spotify.com/track/2aIdVb8v9KTpEZnftkz2mD,https://i.scdn.co/image/ab67616d00001e02aad32187513cd6916ddd3c87,pop,spotify:track:2aIdVb8v9KTpEZnftkz2mD,1.0
0.657,0.695,2,1,0.0,65.997,0.683,Down,"Jay Sean, Lil Wayne",2009,1,https://open.spotify.com/track/7LP4Es66zdY7CyjepqmvAg,https://i.scdn.co/image/ab67616d00001e029004d9d1b817af63d113e937,pop,spotify:track:7LP4Es66zdY7CyjepqmvAg,2.0
0.762,0.661,1,0,0.0,130.009,0.769,Beautiful Girls,Sean Kingston,2007,74,https://open.spotify.com/track/1hGy2eLcmC8eKx7qr1tOqx,https://i.scdn.co/image/ab67616d00001e026a45d20e414fbc456ecea553,pop,spotify:track:1hGy2eLcmC8eKx7qr1tOqx,13.0
0.733,0.664,8,1,0.0,148.005,0.557,BedRock,"Young Money, Lloyd",2009,66,https://open.spotify.com/track/3iL2l5gUqyPS6vDwJFgJTR,https://i.scdn.co/image/ab67616d00001e02cad1e37b4b31b5484325acd3,pop,spotify:track:3iL2l5gUqyPS6vDwJFgJTR,8.0
0.68,0.687,9,0,0.0,150.053,0.467,Whatever You Like,T.I.,2008,70,https://open.spotify.com/track/1IAzD1muglOxOcPbUHs70R,https://i.scdn.co/image/ab67616d00001e02b6d4478c6f91f1cb2d326c78,pop,spotify:track:1IAzD1muglOxOcPbUHs70R,21.0
0.731,0.368,8,1,0.0,145.171,0.512,I'm N Luv (Wit a Stripper) (feat. Mike Jones),"T-Pain, Mike Jones",2005,0,https://open.spotify.com/track/1lih9AUGlOI2qbAkptdBsr,https://i.scdn.co/image/ab67616d00001e02bfe8c2950592fbe9dd9d75c3,pop,spotify:track:1lih9AUGlOI2qbAkptdBsr,8.0
0.673,0.683,1,1,0.0,171.86,0.713,Miss Independent,Ne-Yo,2008,72,https://open.spotify.com/track/34ceTg8ChN5HjrqiIYCn9Q,https://i.scdn.co/image/ab67616d00001e025694163d7c4ab48251e9b57c,pop,spotify:track:34ceTg8ChN5HjrqiIYCn9Q,1.0
0.42,0.787,8,1,0.0,97.967,0.38,Tie Me Down (feat. Ray J),"New Boyz, Ray J",2009,50,https://open.spotify.com/track/4faiJXyBflUVVOOE9fxbeg,https://i.scdn.co/image/ab67616d00001e02073d7027f9466223b3068723,pop,spotify:track:4faiJXyBflUVVOOE9fxbeg,8.0
0.575,0.684,1,1,0.0,172.155,0.926,Sexy Can I feat. Yung Berg,Ray J,2008,0,https://open.spotify.com/track/0DdpxWfVvUGgkJv5536tiF,https://i.scdn.co/image/ab67616d00001e028accd4130a987e659cd3f105,pop,spotify:track:0DdpxWfVvUGgkJv5536tiF,1.0
0.832,0.87,8,0,0.0,138.003,0.566,Right Now (Na Na Na),Akon,2008,62,https://open.spotify.com/track/1ARJhjuI6TNYZCxYygFQ4F,https://i.scdn.co/image/ab67616d00001e029394f4d49f1598a13a580ebc,pop,spotify:track:1ARJhjuI6TNYZCxYygFQ4F,20.0
0.672,0.82,11,1,0.000188,120.005,0.438,Forever,Chris Brown,2008,73,https://open.spotify.com/track/3NZJlJemX3mzjf56MqC5ML,https://i.scdn.co/image/ab67616d00001e02b0d747e54b78eb460dcb9316,pop,spotify:track:3NZJlJemX3mzjf56MqC5ML,11.0
0.855,0.668,11,1,0.0,125.846,0.803,Do You Remember,"Jay Sean, Sean Paul, Lil Jon",2009,0,https://open.spotify.com/track/7yws3pF3FFguwT2Psi6c15,https://i.scdn.co/image/ab67616d00001e029004d9d1b817af63d113e937,pop,spotify:track:7yws3pF3FFguwT2Psi6c15,11.0
0.727,0.552,2,0,0.000164,168.189,0.607,Dilemma,"Nelly, Kelly Rowland",2002,74,https://open.spotify.com/track/0ARK753YaiJbpLUk7z5yIM,https://i.scdn.co/image/ab67616d00001e02a8b9f97b9ea065b9a857e93f,pop,spotify:track:0ARK753YaiJbpLUk7z5yIM,14.0
0.839,0.804,1,1,0.0,122.973,0.888,Fire Burning,Sean Kingston,2009,67,https://open.spotify.com/track/2oENJa1T33GJ0w8dC167G4,https://i.scdn.co/image/ab67616d00001e02ea34361c4a339d474c3be057,pop,spotify:track:2oENJa1T33GJ0w8dC167G4,1.0
0.84,0.571,10,1,0.0,116.59,0.617,Hypnotized (feat. Akon),"Plies, Akon",2007,63,https://open.spotify.com/track/3LN41NUdHkyNqQhi9gExMm,https://i.scdn.co/image/ab67616d00001e022d9f3326c45a2733eea2164f,pop,spotify:track:3LN41NUdHkyNqQhi9gExMm,10.0
0.452,0.574,6,1,0.0,92.791,0.58,So Sick,Ne-Yo,2006,74,https://open.spotify.com/track/6brl7bwOHmGFkNw3MBqssT,https://i.scdn.co/image/ab67616d00001e02987a1825341694ec9bc62457,pop,spotify:track:6brl7bwOHmGFkNw3MBqssT,6.0
0.395,0.922,1,1,0.0,162.361,0.558,Best I Ever Had,Drake,2009,73,https://open.spotify.com/track/3QLjDkgLh9AOEHlhQtDuhs,https://i.scdn.co/image/ab67616d00001e0254ef13c30a024a7f1ba79efd,pop,spotify:track:3QLjDkgLh9AOEHlhQtDuhs,1.0
0.662,0.748,5,0,8.43e-06,82.331,0.535,Suga Suga,"Baby Bash, Frankie J",2003,71,https://open.spotify.com/track/6Nq5lE0CeOAAAqN4qhkbZU,https://i.scdn.co/image/ab67616d00001e0207acb67d4e71275637cd0a1b,pop,spotify:track:6Nq5lE0CeOAAAqN4qhkbZU,17.0
0.79,0.647,10,0,0.0,87.999,0.654,Heartless,Kanye West,2008,81,https://open.spotify.com/track/4EWCNWgDS8707fNSZ1oaA5,https://i.scdn.co/image/ab67616d00001e02346d77e155d854735410ed18,pop,spotify:track:4EWCNWgDS8707fNSZ1oaA5,22.0
0.442,0.83,9,1,0.0,89.338,0.578,Ridin' Solo,Jason Derulo,2010,61,https://open.spotify.com/track/6BaxqcoEM9r3LXisTyJjST,https://i.scdn.co/image/ab67616d00001e02c7b1b93cd2dcb8d528a30a1d,pop,spotify:track:6BaxqcoEM9r3LXisTyJjST,9.0
0.85,0.7,7,1,1.8e-06,101.875,0.722,Ride Wit Me,"Nelly, City Spud",2000,72,https://open.spotify.com/track/3Gf5nttwcX9aaSQXRWidEZ,https://i.scdn.co/image/ab67616d00001e02a7ad64a69a42647de9dd0dad,pop,spotify:track:3Gf5nttwcX9aaSQXRWidEZ,7.0
0.662,0.507,5,1,0.0,86.412,0.676,My Boo,"Usher, Alicia Keys",2004,74,https://open.spotify.com/track/68vgtRHr7iZHpzGpon6Jlo,https://i.scdn.co/image/ab67616d00001e02365b3fb800c19f7ff72602da,pop,spotify:track:68vgtRHr7iZHpzGpon6Jlo,5.0
0.679,0.522,7,0,0.0,60.014,0.445,Birthday Sex,Jeremih,2009,64,https://open.spotify.com/track/4NpDZPwSXmL0cCTaJuVrCw,https://i.scdn.co/image/ab67616d00001e0218b7e2ca5058f16a12059044,pop,spotify:track:4NpDZPwSXmL0cCTaJuVrCw,19.0
0.762,0.748,0,0,0.0,110.009,0.851,In My Head,Jason Derulo,2010,59,https://open.spotify.com/track/5BoIP8Eha5hwmRVURkC2Us,https://i.scdn.co/image/ab67616d00001e02c7b1b93cd2dcb8d528a30a1d,pop,spotify:track:5BoIP8Eha5hwmRVURkC2Us,12.0
0.375,0.862,11,0,0.0,159.841,0.478,Live Your Life,"T.I., Rihanna",2008,71,https://open.spotify.com/track/3jlbL2OTD5YmIunYzgQTAN,https://i.scdn.co/image/ab67616d00001e02b6d4478c6f91f1cb2d326c78,pop,spotify:track:3jlbL2OTD5YmIunYzgQTAN,23.0
0.583,0.829,1,1,0.0,174.028,0.575,Umbrella,"Rihanna, JAY-Z",2007,66,https://open.spotify.com/track/2yPoXCs7BSIUrucMdK5PzV,https://i.scdn.co/image/ab67616d00001e02b9ff0a5f40d3406aed5e5e3b,pop,spotify:track:2yPoXCs7BSIUrucMdK5PzV,1.0
0.525,0.652,5,0,0.0,127.673,0.602,One Wish,Ray J,2005,60,https://open.spotify.com/track/5qrzhg9Fmu8Amg2uMhHfe5,https://i.scdn.co/image/ab67616d00001e0270825280030fcae3d4e3ff74,pop,spotify:track:5qrzhg9Fmu8Amg2uMhHfe5,17.0
0.727,0.649,0,1,0.0,129.992,0.669,Mad,Ne-Yo,2008,66,https://open.spotify.com/track/6Hn9Uc1mMNfqChXU3txNke,https://i.scdn.co/image/ab67616d00001e025694163d7c4ab48251e9b57c,pop,spotify:track:6Hn9Uc1mMNfqChXU3txNke,0.0
0.7,0.598,2,1,0.0,160.041,0.594,Down On Me,"Jeremih, 50 Cent",2010,71,https://open.spotify.com/track/0x3TibRgnSqzkcwrqBd4iX,https://i.scdn.co/image/ab67616d00001e02ee6271e9d8488289b6a4aa63,pop,spotify:track:0x3TibRgnSqzkcwrqBd4iX,2.0
0.66,0.867,6,0,0.0,93.033,0.377,Airplanes (feat. Hayley Williams of Paramore),"B.o.B, Hayley Williams",2010,71,https://open.spotify.com/track/6lV2MSQmRIkycDScNtrBXO,https://i.scdn.co/image/ab67616d00001e02484d121f0e2d2caf87d5d10b,pop,spotify:track:6lV2MSQmRIkycDScNtrBXO,18.0
0.871,0.44,11,0,4.15e-06,137.996,0.799,Day 'N' Nite (nightmare),Kid Cudi,2009,66,https://open.spotify.com/track/5FEXPoPnzueFJQCPRIrC3c,https://i.scdn.co/image/ab67616d00001e02aab2c3c3f1f3207137d915c9,pop,spotify:track:5FEXPoPnzueFJQCPRIrC3c,23.0
0.76,0.595,1,1,0.0,131.497,0.361,No Hands (feat. Roscoe Dash & Wale),"Waka Flocka Flame, Roscoe Dash, Wale",2010,72,https://open.spotify.com/track/03tqyYWC9Um2ZqU0ZN849H,https://i.scdn.co/image/f9cc2e5d29b97a944a08331834c620a44da47e08,pop,spotify:track:03tqyYWC9Um2ZqU0ZN849H,1.0
0.627,0.614,6,0,0.0,96.038,0.758,Find Your Love,Drake,2010,62,https://open.spotify.com/track/4BycRneKmOs6MhYG9THsuX,https://i.scdn.co/image/ab67616d00001e0211b21e8b868800918d21bb77,pop,spotify:track:4BycRneKmOs6MhYG9THsuX,18.0
0.837,0.462,0,1,0.0,139.986,0.762,We Belong Together,Mariah Carey,2005,67,https://open.spotify.com/track/3LmvfNUQtglbTrydsdIqFU,https://i.scdn.co/image/ab67616d00001e02768bc8d9f078db929dfcfbd1,pop,spotify:track:3LmvfNUQtglbTrydsdIqFU,0.0
0.644,0.549,1,0,8.85e-06,90.04,0.167,No One,Alicia Keys,2007,74,https://open.spotify.com/track/6IwKcFdiRQZOWeYNhUiWIv,https://i.scdn.co/image/ab67616d00001e02ae33b6bc69fe5405f6884b7e,pop,spotify:track:6IwKcFdiRQZOWeYNhUiWIv,13.0
0.758,0.642,7,0,0.0,142.078,0.701,Shortie Like Mine (feat. Chris Brown & Johntá Austin),"Bow Wow, Chris Brown, Johnta Austin",2006,59,https://open.spotify.com/track/6oUGAx0vkBcnGzYkvw0ZsA,https://i.scdn.co/image/ab67616d00001e021a16a162f671e39c206dd3ef,pop,spotify:track:6oUGAx0vkBcnGzYkvw0ZsA,19.0
0.549,0.932,8,0,0.0,82.439,0.787,Magic (feat. Rivers Cuomo),"B.o.B, Rivers Cuomo",2010,61,https://open.spotify.com/track/5uHYcK0nbEYgRaFTY5BqnP,https://i.scdn.co/image/ab67616d00001e02484d121f0e2d2caf87d5d10b,pop,spotify:track:5uHYcK0nbEYgRaFTY5BqnP,20.0
0.731,0.807,3,0,0.751,114.759,0.765,The Way I Are,"Timbaland, Keri Hilson, D.O.E.",2007,78,https://open.spotify.com/track/2bLqfJjuC5syrsgDsZfGmn,https://i.scdn.co/image/ab67616d00001e024ed674ab91bdc566534f9285,pop,spotify:track:2bLqfJjuC5syrsgDsZfGmn,15.0
0.785,0.479,7,0,0.0,75.889,0.364,Shawty Is Da Shit,"The-Dream, Fabolous",2007,59,https://open.spotify.com/track/5RC9YDHON0nXKmcQrL6WV6,https://i.scdn.co/image/ab67616d00001e02c0272c5b4cba114ea0fb9e5c,pop,spotify:track:5RC9YDHON0nXKmcQrL6WV6,19.0
0.764,0.648,1,1,0.0,90.1,0.391,Mesmerize,"Ja Rule, Ashanti",2002,61,https://open.spotify.com/track/2iclfHORMqpR3TxuhwVRhD,https://i.scdn.co/image/ab67616d00001e0272062edb1c2405289b2f3f0b,pop,spotify:track:2iclfHORMqpR3TxuhwVRhD,1.0
0.576,0.807,6,0,0.000363,90.012,0.908,21 Questions,"50 Cent, Nate Dogg",2003,69,https://open.spotify.com/track/41bIQPBE1lFN0mmw6Lmssz,https://i.scdn.co/image/ab67616d00001e02f7f74100d5cc850e01172cbf,pop,spotify:track:41bIQPBE1lFN0mmw6Lmssz,18.0
0.675,0.501,10,1,0.0,139.861,0.532,Lovers And Friends,"Lil Jon & The East Side Boyz, Usher, Ludacris",2004,64,https://open.spotify.com/track/41PWz0hAiU9FqsmjR9Wh62,https://i.scdn.co/image/ab67616d00001e024ab521cf16202a5bc5f72cfe,pop,spotify:track:41PWz0hAiU9FqsmjR9Wh62,10.0
0.609,0.444,7,1,6.86e-06,118.402,0.166,If I Ain't Got You,Alicia Keys,2003,77,https://open.spotify.com/track/3XVBdLihbNbxUwZosxcGuJ,https://i.scdn.co/image/ab67616d00001e0256ff19308ebeb48e2ba6094b,pop,spotify:track:3XVBdLihbNbxUwZosxcGuJ,7.0
0.743,0.675,8,0,0.000717,92.909,0.59,No Scrubs,TLC,1999,76,https://open.spotify.com/track/1KGi9sZVMeszgZOWivFpxs,https://i.scdn.co/image/ab67616d00001e0261ffafd5e31a37336531cf95,pop,spotify:track:1KGi9sZVMeszgZOWivFpxs,20.0
0.672,0.62,8,1,0.0,78.005,0.627,Rockin' That Shit,The-Dream,2009,61,https://open.spotify.com/track/3RBGG1be9aBaSvjnw6ABkh,https://i.scdn.co/image/ab67616d00001e024895d86d023cc3aef4fb1210,pop,spotify:track:3RBGG1be9aBaSvjnw6ABkh,8.0
0.803,0.454,8,0,0.0,99.99,0.739,Me & U,Cassie,2006,71,https://open.spotify.com/track/7k6IzwMGpxnRghE7YosnXT,https://i.scdn.co/image/ab67616d00001e02f4c4ee507c2558262869f415,pop,spotify:track:7k6IzwMGpxnRghE7YosnXT,20.0
0.65,0.753,2,0,0.0,82.478,0.616,Next to You,Mike Jones,2009,58,https://open.spotify.com/track/7xVwhsuZTUWhIyFeDH6rYr,https://i.scdn.co/image/ab67616d00001e02debcf1dafbab38de65120884,pop,spotify:track:7xVwhsuZTUWhIyFeDH6rYr,14.0
0.839,0.706,5,0,0.0,96.673,0.839,Always On Time,"Ja Rule, Ashanti",2001,70,https://open.spotify.com/track/4hrae8atte6cRlSC9a7VCO,https://i.scdn.co/image/ab67616d00001e02e37dce36d17a97c3011d1068,pop,spotify:track:4hrae8atte6cRlSC9a7VCO,17.0
0.806,0.721,10,0,0.0,94.967,0.781,Let It Go,"Keyshia Cole, Missy Elliott, Lil' Kim",2007,62,https://open.spotify.com/track/2RqZFOLOnzVmHUX7ZMcaES,https://i.scdn.co/image/ab67616d00001e02911ef35f75422d0482cec8bf,pop,spotify:track:2RqZFOLOnzVmHUX7ZMcaES,22.0
0.789,0.55,11,0,0.0,172.049,0.696,Throw It In The Bag,"Fabolous, The-Dream",2009,54,https://open.spotify.com/track/6c0GmyBsE7mQtrVvxJaWc3,https://i.scdn.co/image/ab67616d00001e0232d0bc6e565d1f9c7856430c,pop,spotify:track:6c0GmyBsE7mQtrVvxJaWc3,23.0
0.728,0.327,0,0,0.0,100.0,0.195,I'm Sprung,T-Pain,2005,66,https://open.spotify.com/track/0DLOyyQvwPTSDKuhpzMMwA,https://i.scdn.co/image/ab67616d00001e02dbaa4ff0c40e19d9c19ed760,pop,spotify:track:0DLOyyQvwPTSDKuhpzMMwA,12.0
0.745,0.666,9,1,0.0,129.995,0.708,Beautiful Girls,Sean Kingston,2008,62,https://open.spotify.com/track/67D9O4Oau629qirRXtTWCS,https://i.scdn.co/image/ab67616d00001e02f7bfc1a13e585524bcd3d376,pop,spotify:track:67D9O4Oau629qirRXtTWCS,9.0
0.758,0.712,7,1,0.0,149.998,0.795,Kiss Me Thru The Phone,"Soulja Boy, Sammie",2008,73,https://open.spotify.com/track/2q4rjDy9WhaN3o9MvDbO21,https://i.scdn.co/image/ab67616d00001e026aef62bd0a60aac7df9a9e37,pop,spotify:track:2q4rjDy9WhaN3o9MvDbO21,7.0
0.752,0.921,5,0,0.0,115.033,0.634,Take You There,Sean Kingston,2008,62,https://open.spotify.com/track/6AdLyvisRKHLAwARaZMGr6,https://i.scdn.co/image/ab67616d00001e02f7bfc1a13e585524bcd3d376,pop,spotify:track:6AdLyvisRKHLAwARaZMGr6,17.0
0.798,0.443,2,1,0.0,125.232,0.354,Don't Matter,Akon,2006,70,https://open.spotify.com/track/7I6DceMT3utDOHjcYCbrr4,https://i.scdn.co/image/ab67616d00001e02d9bcf5565005950b353bc9cf,pop,spotify:track:7I6DceMT3utDOHjcYCbrr4,2.0
0.629,0.696,1,0,0.0,93.034,0.623,Gold Digger,"Kanye West, Jamie Foxx",2005,75,https://open.spotify.com/track/1PS1QMdUqOal0ai3Gt7sDQ,https://i.scdn.co/image/ab67616d00001e02428d2255141c2119409a31b2,pop,spotify:track:1PS1QMdUqOal0ai3Gt7sDQ,13.0
